"model","box_length","cluster"
"WLR",6.75468804380421e-08,4
"WLR",2.8651751550397e-07,3
"WLR",1.75309249237442e-07,2
"WLR",8.31648458985961e-08,1
"HAV-RV",5.76071803741171e-08,4
"HAV-RV",3.52335099881249e-07,3
"HAV-RV",2.00648286593343e-07,2
"HAV-RV",9.09199255308145e-08,1
"EGARCH",6.59450711590411e-08,4
"EGARCH",5.48241352889975e-07,3
"EGARCH",3.09195053574796e-07,2
"EGARCH",1.07126967655803e-07,1
"(mix)HAV-WLR",6.18348130847075e-07,4
"(mix)HAV-WLR",1.37305091988685e-06,3
"(mix)HAV-WLR",1.7392583995878e-06,2
"(mix)HAV-WLR",1.11283188458669e-06,1
"(mix)HAV-EGARCH",7.82178403237132e-07,4
"(mix)HAV-EGARCH",8.40155629469197e-07,3
"(mix)HAV-EGARCH",8.75765080762521e-07,2
"(mix)HAV-EGARCH",3.8705603247159e-06,1
"(mix)WLR-EGARCH",5.41493523903569e-08,4
"(mix)WLR-EGARCH",1.06921400566875e-06,3
"(mix)WLR-EGARCH",1.5872867788318e-07,2
"(mix)WLR-EGARCH",1.46898766133399e-08,1
